INSERT INTO lives_in VALUES
('6786 Hickory Terrace', '3226899243', '1986-6-8', '2024-4-14', 'Primary'),
('1559 Pine Circle', '8850709801', '2022-7-20', '2023-2-24', 'Secondary'),
('9432 Birch Avenue', '7111479043', '2021-10-19', '2023-3-9', 'Secondary'),
('5456 Maple Street', '9381382076', '2018-1-2', '2019-9-18', 'Secondary'),
('6544 Pine Terrace', '6353008913', '2021-6-13', '2021-10-2', 'Secondary'),
('1559 Pine Circle', '8296172198', '2022-8-13', '2023-7-12', 'Secondary'),
('9432 Birch Avenue', '8871196065', '2018-1-16', '2020-9-13', 'Secondary'),
('9432 Birch Avenue', '2190990270', '2016-11-25', '2020-9-10', 'Secondary'),
('6544 Pine Terrace', '9137948010', '2020-5-4', '2021-7-8', 'Secondary'),
('5456 Maple Street', '7377934872', '2015-6-17', '2021-9-24', 'Secondary'),
('9432 Birch Avenue', '6045680570', '2023-10-24', '2023-11-13', 'Secondary'),
('1559 Pine Circle', '4278765242', '2020-10-8', '2021-7-10', 'Secondary'),
('9432 Birch Avenue', '8311222007', '2022-11-5', '2023-6-27', 'Secondary'),
('6544 Pine Terrace', '5846970571', '2023-4-13', '2023-8-19', 'Secondary'),
('9432 Birch Avenue', '4628319602', '2020-11-20', '2021-10-3', 'Secondary'),
('6544 Pine Terrace', '2995813888', '2019-1-11', '2022-8-24', 'Secondary'),
('9432 Birch Avenue', '2995813888', '2015-2-27', '2021-11-9', 'Secondary'),
('6544 Pine Terrace', '4278765242', '2021-8-25', '2023-1-6', 'Secondary'),
('5456 Maple Street', '8296172198', '2023-10-1', '2023-11-24', 'Secondary'),
('9432 Birch Avenue', '6731402334', '2018-8-14', '2019-9-2', 'Secondary'),
('9432 Birch Avenue', '5190123819', '2021-3-21', '2021-5-14', 'Secondary'),
('1559 Pine Circle', '5241570050', '2023-6-13', '2023-11-6', 'Secondary'),
('1559 Pine Circle', '7377934872', '2018-10-17', '2021-7-1', 'Secondary'),
('6544 Pine Terrace', '1191181104', '2015-1-3', '2023-6-8', 'Secondary'),
('5456 Maple Street', '8064330088', '2021-1-23', '2022-3-25', 'Secondary'),
('1559 Pine Circle', '4628319602', '2015-8-21', '2016-2-19', 'Secondary'),
('6544 Pine Terrace', '8296172198', '2022-2-16', '2023-3-23', 'Secondary'),
('5456 Maple Street', '4278765242', '2020-7-25', '2023-10-16', 'Secondary'),
('9432 Birch Avenue', '7885210112', '2020-2-1', '2020-3-16', 'Secondary'),
('6544 Pine Terrace', '8236140100', '2019-2-11', '2023-11-3', 'Secondary'),
('6544 Pine Terrace', '8296172198', '2023-8-3', '2023-8-9', 'Secondary'),
('1559 Pine Circle', '7244408209', '2021-7-5', '2021-8-2', 'Secondary'),
('9432 Birch Avenue', '4628319602', '2019-9-9', '2020-10-5', 'Secondary'),
('6544 Pine Terrace', '5761539762', '2019-5-26', '2019-10-20', 'Secondary'),
('9432 Birch Avenue', '8850709801', '2023-3-20', '2023-11-4', 'Secondary'),
('1559 Pine Circle', '8915612493', '2017-2-16', '2023-2-8', 'Secondary'),
('1559 Pine Circle', '4628319602', '2022-6-1', '2022-10-2', 'Secondary'),
('9432 Birch Avenue', '8236140100', '2023-3-26', '2023-6-10', 'Secondary'),
('1559 Pine Circle', '5846970571', '2017-2-9', '2017-6-20', 'Secondary'),
('9432 Birch Avenue', '2190990270', '2019-3-20', '2021-4-9', 'Secondary'),
('6544 Pine Terrace', '6353008913', '2020-7-24', '2021-7-27', 'Secondary'),
('9432 Birch Avenue', '7244408209', '2019-10-24', '2021-8-23', 'Secondary'),
('5456 Maple Street', '8773699261', '2022-8-6', '2022-10-5', 'Secondary'),
('5456 Maple Street', '3652724132', '2018-1-7', '2018-4-17', 'Secondary'),
('9432 Birch Avenue', '5967514372', '2020-3-17', '2021-7-10', 'Secondary'),
('6544 Pine Terrace', '2777058492', '2019-9-8', '2021-5-14', 'Secondary'),
('5456 Maple Street', '5967514372', '2022-9-8', '2023-2-27', 'Secondary'),
('9432 Birch Avenue', '4278765242', '2016-9-23', '2018-5-11', 'Secondary'),
('9432 Birch Avenue', '2190990270', '2023-1-15', '2023-11-15', 'Secondary'),
('1559 Pine Circle', '5241570050', '2023-1-15', '2023-7-4', 'Secondary'),
('9432 Birch Avenue', '6731402334', '2015-8-27', '2017-1-14', 'Secondary'),
('5456 Maple Street', '7885210112', '2017-7-27', '2020-3-25', 'Secondary'),
('6544 Pine Terrace', '7885210112', '2019-5-11', '2019-8-6', 'Secondary'),
('1559 Pine Circle', '8850709801', '2015-10-20', '2022-2-17', 'Secondary'),
('6544 Pine Terrace', '6045680570', '2020-11-25', '2021-2-14', 'Secondary'),
('1559 Pine Circle', '7111479043', '2021-10-20', '2022-9-19', 'Secondary'),
('1559 Pine Circle', '2777058492', '2023-6-14', '2023-7-9', 'Secondary'),
('6544 Pine Terrace', '8871196065', '2023-6-1', '2023-8-2', 'Secondary'),
('5456 Maple Street', '4278765242', '2018-8-23', '2023-2-16', 'Secondary'),
('9432 Birch Avenue', '8915752784', '2019-2-25', '2022-10-12', 'Secondary'),
('9432 Birch Avenue', '1191181104', '2015-10-2', '2015-11-7', 'Secondary'),
('1559 Pine Circle', '8311222007', '2018-5-18', '2022-4-23', 'Secondary'),
('6544 Pine Terrace', '8850709801', '2015-10-6', '2017-10-17', 'Secondary'),
('9432 Birch Avenue', '5967514372', '2023-3-21', '2023-7-14', 'Secondary'),
('5456 Maple Street', '5967514372', '2016-10-6', '2019-4-13', 'Secondary'),
('6544 Pine Terrace', '8871196065', '2017-2-3', '2019-7-14', 'Secondary'),
('1559 Pine Circle', '6164885392', '2019-7-14', '2023-8-10', 'Secondary'),
('5456 Maple Street', '8850709801', '2015-7-6', '2016-1-8', 'Secondary'),
('6544 Pine Terrace', '9137948010', '2017-3-17', '2021-7-3', 'Secondary'),
('5456 Maple Street', '8915612493', '2022-11-22', '2023-2-17', 'Secondary'),
('6544 Pine Terrace', '5241570050', '2022-8-13', '2023-1-15', 'Secondary'),
('5456 Maple Street', '3652724132', '2019-8-19', '2023-9-3', 'Secondary'),
('5456 Maple Street', '7377934872', '2016-2-20', '2023-10-13', 'Secondary'),
('5456 Maple Street', '2995813888', '2022-8-15', '2023-3-9', 'Secondary');

INSERT INTO lives_in VALUES
('8658 Oak Court', '9291703896', '1974-1-9', '2024-4-14', 'Primary'),
('3446 Oak Street', '7230800414', '1973-10-26', '2024-4-14', 'Primary'),
('4343 Elm Terrace', '8613562740', '1972-4-13', '2024-4-14', 'Primary'),
('8089 Pine Way', '7230800414', '2020-9-20', '2024-4-14', 'Primary'),
('4636 Elm Avenue', '7230800414', '1978-4-18', '2024-4-14', 'Primary'),
('8658 Oak Court', '0801774582', '2020-2-24', '2022-6-3', 'Secondary'),
('3446 Oak Street', '6739114564', '2016-4-23', '2021-4-1', 'Secondary'),
('3446 Oak Street', '2228500891', '2019-6-8', '2022-2-21', 'Secondary'),
('8658 Oak Court', '3268666403', '2019-10-23', '2023-1-24', 'Secondary'),
('4343 Elm Terrace', '5086868637', '2015-2-15', '2021-6-23', 'Secondary'),
('8089 Pine Way', '5869123489', '2019-4-14', '2023-9-21', 'Secondary'),
('3446 Oak Street', '9995411862', '2016-8-3', '2022-1-5', 'Secondary'),
('4343 Elm Terrace', '2371641182', '2022-5-24', '2022-11-8', 'Secondary'),
('8658 Oak Court', '0801774582', '2023-10-10', '2023-11-17', 'Secondary'),
('8089 Pine Way', '0004540594', '2016-5-4', '2017-4-2', 'Secondary'),
('8089 Pine Way', '1006080494', '2017-7-4', '2021-7-24', 'Secondary'),
('4343 Elm Terrace', '7962832421', '2019-11-23', '2020-7-16', 'Secondary'),
('3446 Oak Street', '0181716068', '2023-4-24', '2023-6-16', 'Secondary'),
('8089 Pine Way', '5392299689', '2018-9-26', '2018-11-16', 'Secondary'),
('8089 Pine Way', '7962832421', '2017-8-9', '2020-6-9', 'Secondary'),
('3446 Oak Street', '0166274026', '2018-2-12', '2022-6-14', 'Secondary'),
('3446 Oak Street', '7230800414', '2015-7-26', '2021-11-22', 'Secondary'),
('3446 Oak Street', '4965665937', '2018-1-1', '2021-7-7', 'Secondary'),
('4343 Elm Terrace', '4238006043', '2023-8-19', '2023-11-11', 'Secondary'),
('3446 Oak Street', '1578976602', '2017-2-22', '2017-10-24', 'Secondary'),
('4343 Elm Terrace', '5086868637', '2019-4-24', '2022-2-8', 'Secondary'),
('8089 Pine Way', '0925924826', '2017-1-26', '2020-10-15', 'Secondary'),
('4343 Elm Terrace', '9995411862', '2019-7-4', '2020-3-14', 'Secondary'),
('8089 Pine Way', '5727839166', '2018-3-19', '2019-10-1', 'Secondary'),
('8089 Pine Way', '0133960805', '2015-1-22', '2017-1-5', 'Secondary'),
('8089 Pine Way', '3063413789', '2015-1-10', '2020-4-4', 'Secondary'),
('3446 Oak Street', '5086868637', '2021-1-26', '2021-11-20', 'Secondary'),
('8089 Pine Way', '4965665937', '2016-2-26', '2018-4-15', 'Secondary'),
('8658 Oak Court', '7260346076', '2019-4-3', '2020-6-1', 'Secondary'),
('4343 Elm Terrace', '7260346076', '2022-7-1', '2023-10-22', 'Secondary'),
('8089 Pine Way', '5265469914', '2023-2-6', '2023-9-17', 'Secondary'),
('8658 Oak Court', '2371641182', '2019-7-23', '2022-11-19', 'Secondary'),
('8658 Oak Court', '6739114564', '2023-10-25', '2023-11-26', 'Secondary'),
('8089 Pine Way', '9995411862', '2023-7-17', '2023-8-8', 'Secondary'),
('8658 Oak Court', '2468706742', '2017-6-8', '2020-3-9', 'Secondary'),
('8658 Oak Court', '8760605063', '2020-6-20', '2023-4-7', 'Secondary'),
('4343 Elm Terrace', '2468706742', '2018-1-4', '2022-9-20', 'Secondary'),
('4343 Elm Terrace', '4568649805', '2017-1-25', '2021-3-21', 'Secondary'),
('8658 Oak Court', '0801774582', '2020-9-9', '2021-6-10', 'Secondary'),
('4343 Elm Terrace', '0181716068', '2016-11-18', '2017-11-7', 'Secondary'),
('3446 Oak Street', '3063413789', '2018-8-1', '2020-10-24', 'Secondary'),
('3446 Oak Street', '7230800414', '2015-4-27', '2022-2-14', 'Secondary'),
('4343 Elm Terrace', '2371641182', '2015-4-4', '2017-8-9', 'Secondary'),
('8089 Pine Way', '2468706742', '2020-2-10', '2022-9-21', 'Secondary'),
('8089 Pine Way', '5740351799', '2019-3-25', '2020-6-15', 'Secondary'),
('3446 Oak Street', '5392299689', '2019-9-27', '2023-2-1', 'Secondary'),
('3446 Oak Street', '7513646408', '2015-9-25', '2017-10-21', 'Secondary'),
('8089 Pine Way', '5740351799', '2019-11-13', '2021-3-5', 'Secondary'),
('8089 Pine Way', '5869123489', '2019-11-4', '2022-4-5', 'Secondary'),
('8658 Oak Court', '1145787610', '2016-5-14', '2021-1-18', 'Secondary'),
('3446 Oak Street', '6739114564', '2019-8-8', '2022-7-25', 'Secondary'),
('3446 Oak Street', '7689613176', '2019-10-13', '2020-9-6', 'Secondary'),
('8658 Oak Court', '1145787610', '2016-9-5', '2023-7-12', 'Secondary'),
('4343 Elm Terrace', '3362669463', '2020-5-25', '2020-11-16', 'Secondary'),
('4343 Elm Terrace', '5740351799', '2017-10-17', '2018-7-8', 'Secondary'),
('3446 Oak Street', '0181716068', '2015-5-24', '2016-5-10', 'Secondary'),
('4343 Elm Terrace', '0133960805', '2017-3-4', '2017-3-6', 'Secondary'),
('8089 Pine Way', '9995411862', '2020-5-22', '2023-8-7', 'Secondary'),
('4343 Elm Terrace', '4568649805', '2015-7-19', '2020-4-9', 'Secondary'),
('4343 Elm Terrace', '0133960805', '2017-7-18', '2023-4-9', 'Secondary'),
('8658 Oak Court', '2468706742', '2015-11-16', '2019-2-6', 'Secondary'),
('8089 Pine Way', '8613562740', '2016-6-10', '2023-3-1', 'Secondary'),
('3446 Oak Street', '4238006043', '2023-11-23', '2023-11-23', 'Secondary'),
('8089 Pine Way', '4568649805', '2016-2-10', '2017-9-26', 'Secondary'),
('8658 Oak Court', '9291703896', '2022-3-4', '2022-7-5', 'Secondary'),
('8089 Pine Way', '9291703896', '2017-9-3', '2021-4-10', 'Secondary'),
('8089 Pine Way', '3268666403', '2021-2-22', '2021-3-12', 'Secondary'),
('8658 Oak Court', '5265469914', '2022-3-24', '2023-10-2', 'Secondary'),
('4343 Elm Terrace', '8613562740', '2015-11-22', '2016-3-7', 'Secondary'),
('8658 Oak Court', '5265469914', '2016-6-17', '2023-6-11', 'Secondary'),
('4343 Elm Terrace', '0181716068', '2023-2-6', '2023-10-18', 'Secondary'),
('8658 Oak Court', '1377668828', '2021-10-3', '2021-11-23', 'Secondary'),
('8089 Pine Way', '1145787610', '2019-3-8', '2019-4-13', 'Secondary'),
('3446 Oak Street', '1578976602', '2020-5-19', '2021-6-4', 'Secondary'),
('8658 Oak Court', '5869123489', '2022-1-21', '2022-7-13', 'Secondary');

INSERT INTO lives_in VALUES
('9202 Oak Way', '7643382155', '1985-6-16', '2024-4-14', 'Primary'),
('6549 Birch Way', '5465248862', '2009-5-12', '2024-4-14', 'Primary'),
('8761 Willow Boulevard', '7465561602', '1977-1-1', '2024-4-14', 'Primary'),
('1862 Maple Boulevard', '5465248862', '1982-7-14', '2024-4-14', 'Primary'),
('5439 Hickory Boulevard', '3037054377', '2007-5-27', '2024-4-14', 'Primary'),
('9202 Oak Way', '7643382155', '2015-5-1', '2019-3-22', 'Secondary'),
('1862 Maple Boulevard', '7843246853', '2021-2-26', '2021-9-18', 'Secondary'),
('8761 Willow Boulevard', '3268577500', '2020-7-12', '2021-2-1', 'Secondary'),
('9202 Oak Way', '5299451033', '2017-7-6', '2021-1-6', 'Secondary'),
('6549 Birch Way', '7191750249', '2016-5-11', '2022-1-4', 'Secondary'),
('6549 Birch Way', '7843246853', '2022-3-1', '2022-6-7', 'Secondary'),
('6549 Birch Way', '2041798853', '2016-5-14', '2020-9-7', 'Secondary'),
('1862 Maple Boulevard', '6368236686', '2018-4-6', '2020-1-6', 'Secondary'),
('8761 Willow Boulevard', '7843246853', '2018-11-3', '2023-11-13', 'Secondary'),
('1862 Maple Boulevard', '3037054377', '2017-3-22', '2022-1-24', 'Secondary'),
('8761 Willow Boulevard', '7931555945', '2016-8-7', '2018-5-7', 'Secondary'),
('8761 Willow Boulevard', '9847424760', '2020-3-5', '2022-7-26', 'Secondary'),
('6549 Birch Way', '7191750249', '2017-2-22', '2018-10-18', 'Secondary'),
('6549 Birch Way', '7081140086', '2015-5-3', '2016-2-15', 'Secondary'),
('6549 Birch Way', '7843246853', '2020-4-26', '2020-8-1', 'Secondary'),
('1862 Maple Boulevard', '2940722342', '2018-3-2', '2020-1-8', 'Secondary'),
('9202 Oak Way', '2940722342', '2022-2-5', '2023-9-27', 'Secondary'),
('6549 Birch Way', '7931555945', '2016-6-27', '2022-10-24', 'Secondary'),
('1862 Maple Boulevard', '4350772272', '2017-7-18', '2017-9-21', 'Secondary'),
('9202 Oak Way', '7593719475', '2022-8-16', '2023-1-20', 'Secondary'),
('8761 Willow Boulevard', '5465248862', '2016-4-16', '2019-8-24', 'Secondary'),
('1862 Maple Boulevard', '3313335699', '2021-3-21', '2021-10-4', 'Secondary'),
('8761 Willow Boulevard', '8607620686', '2023-10-14', '2023-10-19', 'Secondary'),
('9202 Oak Way', '9847424760', '2016-5-22', '2019-3-11', 'Secondary'),
('9202 Oak Way', '2390518374', '2015-3-3', '2021-3-27', 'Secondary'),
('8761 Willow Boulevard', '9204036553', '2015-4-1', '2018-8-24', 'Secondary'),
('8761 Willow Boulevard', '7081140086', '2023-11-25', '2023-11-25', 'Secondary'),
('8761 Willow Boulevard', '9847424760', '2023-1-22', '2023-5-27', 'Secondary'),
('6549 Birch Way', '7643382155', '2018-7-26', '2019-1-13', 'Secondary'),
('1862 Maple Boulevard', '3268577500', '2020-8-14', '2023-1-14', 'Secondary'),
('8761 Willow Boulevard', '3037054377', '2019-2-27', '2019-11-9', 'Secondary'),
('8761 Willow Boulevard', '5465248862', '2021-4-10', '2023-8-23', 'Secondary'),
('6549 Birch Way', '2677741539', '2018-5-6', '2023-3-5', 'Secondary'),
('6549 Birch Way', '7843246853', '2016-8-12', '2022-2-22', 'Secondary'),
('8761 Willow Boulevard', '3268577500', '2015-1-7', '2022-2-8', 'Secondary'),
('8761 Willow Boulevard', '5979805359', '2022-11-9', '2023-6-25', 'Secondary'),
('6549 Birch Way', '2041798853', '2017-11-23', '2018-1-7', 'Secondary'),
('8761 Willow Boulevard', '9847424760', '2015-7-2', '2016-7-14', 'Secondary'),
('8761 Willow Boulevard', '7931555945', '2018-4-11', '2018-10-12', 'Secondary'),
('1862 Maple Boulevard', '9847424760', '2023-7-23', '2023-8-11', 'Secondary'),
('8761 Willow Boulevard', '7843246853', '2015-4-25', '2018-11-16', 'Secondary'),
('6549 Birch Way', '2940722342', '2019-5-11', '2022-5-14', 'Secondary'),
('8761 Willow Boulevard', '6566573847', '2015-4-8', '2023-3-15', 'Secondary'),
('8761 Willow Boulevard', '5697809949', '2018-8-26', '2019-2-22', 'Secondary'),
('6549 Birch Way', '7843246853', '2021-3-24', '2021-4-24', 'Secondary'),
('8761 Willow Boulevard', '8607620686', '2015-9-7', '2016-9-10', 'Secondary'),
('9202 Oak Way', '4350772272', '2022-10-25', '2023-11-11', 'Secondary'),
('9202 Oak Way', '7191750249', '2023-8-12', '2023-10-2', 'Secondary'),
('9202 Oak Way', '5299451033', '2023-5-16', '2023-5-21', 'Secondary'),
('1862 Maple Boulevard', '9847424760', '2019-5-13', '2022-2-4', 'Secondary'),
('8761 Willow Boulevard', '3268577500', '2023-11-5', '2023-11-9', 'Secondary'),
('1862 Maple Boulevard', '4097665259', '2019-2-27', '2022-5-8', 'Secondary'),
('1862 Maple Boulevard', '1681590899', '2022-4-1', '2022-7-17', 'Secondary'),
('9202 Oak Way', '2940722342', '2016-2-19', '2022-3-8', 'Secondary'),
('1862 Maple Boulevard', '1681590899', '2019-2-11', '2022-5-18', 'Secondary'),
('1862 Maple Boulevard', '9308957137', '2019-9-10', '2020-5-16', 'Secondary'),
('9202 Oak Way', '9308957137', '2020-9-2', '2023-6-13', 'Secondary'),
('1862 Maple Boulevard', '5697809949', '2020-11-22', '2022-5-4', 'Secondary'),
('1862 Maple Boulevard', '3268577500', '2016-10-27', '2017-11-19', 'Secondary'),
('9202 Oak Way', '3209365013', '2020-11-9', '2022-4-15', 'Secondary'),
('1862 Maple Boulevard', '2390518374', '2016-11-15', '2017-9-7', 'Secondary'),
('6549 Birch Way', '6368236686', '2017-2-26', '2017-10-8', 'Secondary'),
('9202 Oak Way', '2390518374', '2016-6-8', '2022-10-12', 'Secondary'),
('6549 Birch Way', '7811067088', '2020-11-5', '2021-9-21', 'Secondary'),
('9202 Oak Way', '2940722342', '2021-4-13', '2023-1-6', 'Secondary'),
('8761 Willow Boulevard', '1681590899', '2016-11-6', '2022-5-17', 'Secondary'),
('1862 Maple Boulevard', '4097665259', '2021-3-25', '2021-7-23', 'Secondary'),
('6549 Birch Way', '8607620686', '2019-3-7', '2021-9-1', 'Secondary'),
('6549 Birch Way', '6566573847', '2023-7-2', '2023-8-16', 'Secondary'),
('6549 Birch Way', '2390518374', '2020-11-24', '2022-9-15', 'Secondary'),
('6549 Birch Way', '2940722342', '2017-7-15', '2018-8-20', 'Secondary'),
('9202 Oak Way', '6553840808', '2019-8-24', '2022-9-7', 'Secondary'),
('8761 Willow Boulevard', '7694786703', '2019-3-17', '2019-4-8', 'Secondary'),
('6549 Birch Way', '2940722342', '2015-2-12', '2016-4-10', 'Secondary'),
('8761 Willow Boulevard', '4350772272', '2020-5-25', '2021-2-5', 'Secondary');

INSERT INTO lives_in VALUES
('1865 Pine Drive', '3496650417', '1991-5-8', '2024-4-14', 'Primary'),
('0942 Maple Way', '2843379519', '2020-11-8', '2024-4-14', 'Primary'),
('0527 Hickory Road', '2843379519', '2020-5-23', '2024-4-14', 'Primary'),
('8506 Pine Terrace', '8924852315', '2008-5-20', '2024-4-14', 'Primary'),
('4435 Cedar Drive', '5215245886', '1998-1-22', '2024-4-14', 'Primary'),
('1865 Pine Drive', '9501391013', '2020-11-20', '2021-7-5', 'Secondary'),
('0527 Hickory Road', '9528920335', '2023-8-10', '2023-9-2', 'Secondary'),
('0527 Hickory Road', '7984324833', '2022-9-17', '2023-1-25', 'Secondary'),
('8506 Pine Terrace', '3468317590', '2018-2-15', '2021-6-20', 'Secondary'),
('0527 Hickory Road', '9851080533', '2018-2-22', '2020-9-18', 'Secondary'),
('0942 Maple Way', '1600205230', '2018-7-9', '2022-3-4', 'Secondary'),
('0942 Maple Way', '8241238277', '2015-9-17', '2019-2-8', 'Secondary'),
('1865 Pine Drive', '3468317590', '2016-2-26', '2020-6-11', 'Secondary'),
('1865 Pine Drive', '5215245886', '2016-8-2', '2020-2-9', 'Secondary'),
('0942 Maple Way', '3265809151', '2016-4-25', '2019-1-10', 'Secondary'),
('1865 Pine Drive', '0118442697', '2019-9-22', '2023-7-9', 'Secondary'),
('8506 Pine Terrace', '2771486770', '2019-4-10', '2023-2-20', 'Secondary'),
('1865 Pine Drive', '0647821232', '2022-9-2', '2023-1-16', 'Secondary'),
('0942 Maple Way', '9851080533', '2022-7-25', '2022-9-11', 'Secondary'),
('8506 Pine Terrace', '1808403070', '2017-7-3', '2023-10-17', 'Secondary'),
('0942 Maple Way', '5380963654', '2022-3-13', '2022-3-27', 'Secondary'),
('0942 Maple Way', '3496650417', '2016-4-10', '2016-11-9', 'Secondary'),
('0527 Hickory Road', '3496650417', '2019-10-7', '2021-9-11', 'Secondary'),
('8506 Pine Terrace', '5380963654', '2020-8-7', '2021-11-15', 'Secondary'),
('0942 Maple Way', '5608579317', '2019-1-24', '2021-10-10', 'Secondary'),
('0527 Hickory Road', '5608579317', '2017-3-2', '2018-9-26', 'Secondary'),
('0527 Hickory Road', '5380963654', '2017-4-4', '2021-2-24', 'Secondary'),
('1865 Pine Drive', '6044200642', '2017-4-17', '2018-5-14', 'Secondary'),
('0942 Maple Way', '9851080533', '2016-9-10', '2021-2-5', 'Secondary'),
('8506 Pine Terrace', '5455757081', '2022-5-1', '2023-4-21', 'Secondary'),
('0527 Hickory Road', '1808403070', '2018-2-25', '2023-4-13', 'Secondary'),
('1865 Pine Drive', '7521264209', '2017-5-8', '2022-6-24', 'Secondary'),
('0527 Hickory Road', '9501391013', '2021-4-21', '2021-9-17', 'Secondary'),
('0527 Hickory Road', '3468317590', '2018-7-21', '2022-9-4', 'Secondary'),
('1865 Pine Drive', '3468317590', '2022-6-13', '2023-1-16', 'Secondary'),
('8506 Pine Terrace', '9528920335', '2019-10-24', '2020-2-11', 'Secondary'),
('8506 Pine Terrace', '9392167186', '2021-8-23', '2022-6-24', 'Secondary'),
('1865 Pine Drive', '2843379519', '2019-5-10', '2019-10-5', 'Secondary'),
('0527 Hickory Road', '0612150862', '2021-2-5', '2022-9-8', 'Secondary'),
('0942 Maple Way', '6434038365', '2020-5-16', '2020-10-3', 'Secondary'),
('1865 Pine Drive', '2771486770', '2017-10-26', '2018-9-16', 'Secondary'),
('8506 Pine Terrace', '5380963654', '2021-1-2', '2021-10-17', 'Secondary'),
('0527 Hickory Road', '9528920335', '2016-4-7', '2021-11-15', 'Secondary'),
('1865 Pine Drive', '7507025521', '2022-2-20', '2023-1-21', 'Secondary'),
('1865 Pine Drive', '9851080533', '2022-11-13', '2023-11-9', 'Secondary'),
('8506 Pine Terrace', '5380963654', '2016-2-11', '2019-11-4', 'Secondary'),
('8506 Pine Terrace', '9266431930', '2018-7-14', '2019-7-11', 'Secondary'),
('0942 Maple Way', '2176770710', '2021-5-3', '2022-7-17', 'Secondary'),
('0527 Hickory Road', '8241238277', '2021-8-3', '2022-10-22', 'Secondary'),
('0527 Hickory Road', '7521264209', '2018-1-6', '2021-10-5', 'Secondary'),
('0942 Maple Way', '3468317590', '2019-8-3', '2019-11-17', 'Secondary'),
('1865 Pine Drive', '1320396055', '2021-9-19', '2021-11-2', 'Secondary'),
('0942 Maple Way', '5215245886', '2018-6-14', '2018-9-13', 'Secondary'),
('0942 Maple Way', '6294874244', '2022-7-15', '2022-10-2', 'Secondary'),
('0942 Maple Way', '6044200642', '2016-5-17', '2021-4-2', 'Secondary'),
('8506 Pine Terrace', '9501391013', '2016-8-15', '2022-10-26', 'Secondary'),
('1865 Pine Drive', '7521264209', '2021-8-26', '2022-9-20', 'Secondary'),
('1865 Pine Drive', '7521264209', '2016-9-20', '2023-5-5', 'Secondary'),
('8506 Pine Terrace', '8924852315', '2017-2-4', '2022-1-22', 'Secondary'),
('0527 Hickory Road', '5455757081', '2022-8-14', '2022-8-24', 'Secondary'),
('1865 Pine Drive', '9919029144', '2023-10-25', '2023-11-26', 'Secondary'),
('8506 Pine Terrace', '8924852315', '2018-3-20', '2019-11-5', 'Secondary'),
('0942 Maple Way', '2771486770', '2017-3-25', '2017-6-13', 'Secondary'),
('1865 Pine Drive', '9851080533', '2019-9-13', '2021-8-8', 'Secondary'),
('1865 Pine Drive', '0647821232', '2023-7-19', '2023-10-13', 'Secondary'),
('0942 Maple Way', '9266431930', '2023-6-2', '2023-10-6', 'Secondary'),
('8506 Pine Terrace', '6044200642', '2022-5-11', '2023-4-11', 'Secondary'),
('1865 Pine Drive', '8241238277', '2016-4-27', '2018-2-2', 'Secondary'),
('8506 Pine Terrace', '0240655361', '2018-4-9', '2018-5-6', 'Secondary'),
('0942 Maple Way', '0707472978', '2017-10-22', '2020-1-25', 'Secondary'),
('8506 Pine Terrace', '5608579317', '2021-6-23', '2023-4-27', 'Secondary'),
('0527 Hickory Road', '2600653929', '2019-7-2', '2021-8-8', 'Secondary'),
('8506 Pine Terrace', '5608579317', '2019-7-20', '2022-6-24', 'Secondary'),
('0527 Hickory Road', '8241238277', '2015-11-2', '2016-4-20', 'Secondary'),
('1865 Pine Drive', '1600205230', '2016-9-9', '2018-11-25', 'Secondary'),
('1865 Pine Drive', '1808403070', '2016-4-7', '2020-10-27', 'Secondary'),
('0527 Hickory Road', '7426583668', '2021-7-19', '2021-11-22', 'Secondary'),
('0527 Hickory Road', '4360560772', '2021-11-19', '2023-11-18', 'Secondary'),
('1865 Pine Drive', '7984324833', '2021-4-1', '2021-4-24', 'Secondary'),
('0527 Hickory Road', '9266431930', '2019-9-12', '2022-5-23', 'Secondary');

INSERT INTO lives_in VALUES
('0355 Cedar Road', '3007883041', '1996-9-8', '2024-4-14', 'Primary'),
('8862 Oak Way', '5346447788', '1973-4-14', '2024-4-14', 'Primary'),
('6812 Cedar Boulevard', '5346447788', '1972-2-21', '2024-4-14', 'Primary'),
('0491 Magnolia Boulevard', '3007883041', '1980-1-2', '2024-4-14', 'Primary'),
('6470 Oak Avenue', '0788803795', '1982-8-13', '2024-4-14', 'Primary'),
('0491 Magnolia Boulevard', '7644772878', '2022-9-12', '2022-10-16', 'Secondary'),
('0491 Magnolia Boulevard', '4292520511', '2018-5-2', '2020-11-10', 'Secondary'),
('0491 Magnolia Boulevard', '0099940252', '2015-4-9', '2022-2-25', 'Secondary'),
('0355 Cedar Road', '7445789099', '2022-2-3', '2023-10-23', 'Secondary'),
('6812 Cedar Boulevard', '9658738337', '2015-8-16', '2020-2-9', 'Secondary'),
('8862 Oak Way', '5759890272', '2015-6-12', '2018-4-3', 'Secondary'),
('6812 Cedar Boulevard', '0750597054', '2021-6-10', '2022-8-2', 'Secondary'),
('8862 Oak Way', '4238359081', '2019-3-11', '2023-4-13', 'Secondary'),
('0355 Cedar Road', '5346447788', '2015-6-10', '2015-7-10', 'Secondary'),
('8862 Oak Way', '7291398414', '2022-3-4', '2023-1-13', 'Secondary'),
('0355 Cedar Road', '7338049474', '2017-11-19', '2023-5-24', 'Secondary'),
